db_table,db_id,db_code,db_name,db_unit,db_status,db_ziel,match_score,match_sheet,match_row,match_name,match_unit,match_dref,xl_status,xl_ziel,drift_status,drift_ziel,best_scale_status,best_drift_status,best_scale_ziel,best_drift_ziel,verdict_status,verdict_ziel
LandUse,153,LU_2.3,Dauergrünland,ha,4704200.0,4371150.0,1.0,1. Flächen,22,Dauergrünland,4704200,1.90,4704200,4371149.768479563,0.0,5.296556665961104e-08,1.0,0.0,1.0,5.296556665961104e-08,EXACT,PASS_COSMETIC
LandUse,154,LU_2.4,(sonstige Nutzung),ha,1615489.0,1883157.0,1.0,1. Flächen,25,(sonstige Nutzung),1615489.35,,1615489.35,1670097.3815204366,2.1665261989695706e-07,0.11313959403255458,1.0,2.1665261989695706e-07,1.0,0.11313959403255458,PASS_COSMETIC,DRIFT
LandUse,155,LU_3,Waldfläche,ha,11538455.0,11538455.0,1.0,1. Flächen,27,Waldfläche,11538455,1.96,11538455,11538455,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
LandUse,156,LU_3.1,Forstfl. (u.a.Energieholz),ha,9866633.0,9373000.0,1.0,1. Flächen,28,Forstfl. (u.a.Energieholz),9866633,1.109,9866633,9373000,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
LandUse,157,LU_3.2,(ohne forstwirtsch.Nutzung),ha,1671822.0,2165455.0,1.0,1. Flächen,29,(ohne forstwirtsch.Nutzung),1671822,,1671822,2165455,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
LandUse,158,LU_4,(sonstige Flächen),ha,2820278.0,2820278.0,1.0,1. Flächen,31,(sonstige Flächen),2820278,,2820278,2820278,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
LandUse,159,LU_5,Windenergie Flächenpotenzial,ha,2089000.0,1671200.0,1.0,1. Flächen,33,Windenergie Flächenpotenzial,2089000,1.173,2089000,1671200,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
LandUse,160,LU_6,Windparkfläche,ha,172556.0,715288.6652322228,1.0,1. Flächen,34,Windparkfläche*,172555.8,1.188,172555.8,715289.0305038091,1.1590440205593635e-06,5.106629219316255e-07,1.0,1.1590440205593635e-06,1.0,5.106629219316255e-07,PASS_COSMETIC,PASS_COSMETIC
VerbrauchData,1,1,"Kraft, Licht, Information, Kommunikation, Kälte (KLIK)",GWh/a,329214.0,312753.30000000005,0.0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,2,1.0,"Bedarfsniveau (statisch), 100% Strom",GWh/a,329214.0,329214.0,1.0,4. Verbrauch,22,"Bedarfsniveau (statisch), 100% Strom",GWh/a,,329214.0656749311,329214.0656749311,1.9949005206483084e-07,1.9949005206483084e-07,1.0,1.9949005206483084e-07,1.0,1.9949005206483084e-07,PASS_COSMETIC,PASS_COSMETIC
VerbrauchData,265,10,fossil,gwh/a,50.0,60.0,0.658,6. Fossile,5,Strom fossil/atomar,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,3,1.1,davon Haushalte,%,18.64,18.6,1.0,4. Verbrauch,23,*davon Haushalte,%,1.700,18.60082304526749,18.60082304526749,0.002101767957752744,4.424778761052735e-05,1.0,0.002101767957752744,1.0,4.424778761052735e-05,DRIFT,PASS_COSMETIC
VerbrauchData,4,1.1.1,Endenergie Haushalte,GWh/a,61365.4896,61233.804000000004,0.0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,5,1.1.2,Zieleinfluss Endanwendungs-Effizienz,%,100.0,95.0,1.0,4. Verbrauch,25,*Zieleinfluss Endanwendungs-Effizienz,%,1.705,100,95,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
VerbrauchData,6,1.1.3,Endenergie nach Effizienz,GWh/a,61365.4896,58172.11380000001,0.0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,7,1.2,davon Handel/Dienstleistungen,%,34.7,34.7,1.0,4. Verbrauch,28,*davon Handel/Dienstleistungen,%,1.712,34.65768799102133,34.65768799102133,0.0012193662529877917,0.0012193662529877917,1.0,0.0012193662529877917,1.0,0.0012193662529877917,DRIFT,DRIFT
VerbrauchData,8,1.2.1,Endenergie Handel/Dienstl.,GWh/a,114237.258,114237.258,0.0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,9,1.2.2,Zieleinfluss Handels-/Dienstl.-Vol./Pers.,%,100.0,100.0,1.0,4. Verbrauch,30,*Zieleinfluss Handels-/Dienstl.-Vol./Pers.,%,1.717,100,100,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
VerbrauchData,10,1.2.3,Nach Vol./Pers. Anpassung,GWh/a,114237.258,114237.258,0.0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,11,1.2.4,Zieleinfluss Prozess-Effizienz,%,100.0,95.0,1.0,4. Verbrauch,32,*Zieleinfluss Prozess-Effizienz,%,1.722,100,95,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
VerbrauchData,12,1.2.5,Endenergie nach Prozess-Effizienz,GWh/a,114237.258,108525.3951,0.0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,13,1.3,davon Industrie + Gewerbeanteil GHD,%,46.7,46.7,1.0,4. Verbrauch,35,*davon Industrie + Gewerbeanteil GHD,%,1.728,46.741488963711184,46.741488963711184,0.0008876260605089446,0.0008876260605089446,1.0,0.0008876260605089446,1.0,0.0008876260605089446,PASS,PASS
VerbrauchData,14,1.3.1,Endenergie Industrie,GWh/a,153742.938,153742.938,0.0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,15,1.3.2,Zieleinfluss Materialdurchsatz/Pers.,%,100.0,100.0,1.0,4. Verbrauch,37,*Zieleinfluss Materialdurchsatz/Pers.,%,1.733,100,100,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
VerbrauchData,16,1.3.3,Nach Materialdurchsatz Anpassung,GWh/a,153742.938,153742.938,0.0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,17,1.3.4,Zieleinfluss Prozess-Effizienz,%,100.0,95.0,1.0,4. Verbrauch,32,*Zieleinfluss Prozess-Effizienz,%,1.722,100,95,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
VerbrauchData,18,1.3.5,Endenergie nach Prozess-Effizienz,GWh/a,153742.938,146055.7911,0.0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,19,1.4,Endverbrauch Strom für KLIK gesamt,GWh/a,329345.68559999997,312753.30000000005,1.0,4. Verbrauch,42,Endverbrauch Strom für KLIK gesamt,GWh/a,,329214.0656749311,312753.36239118455,0.000399640653646583,1.9949005192524563e-07,1.0,0.000399640653646583,1.0,1.9949005192524563e-07,PASS,PASS_COSMETIC
VerbrauchData,60,2.0,Bedarfsniveau (statisch),GWh/a,798867.0,798867.0,1.0,4. Verbrauch,45,Bedarfsniveau (statisch),GWh/a,,798867.2532382089,798867.2532382089,3.1699660727696963e-07,3.1699660727696963e-07,1.0,3.1699660727696963e-07,1.0,3.1699660727696963e-07,PASS_COSMETIC,PASS_COSMETIC
VerbrauchData,61,2.1,davon Haushalte,%,71.64,71.64,1.0,4. Verbrauch,23,*davon Haushalte,%,1.700,18.60082304526749,18.60082304526749,0.7403570205853226,0.7403570205853226,1.0,0.7403570205853226,1.0,0.7403570205853226,DRIFT,DRIFT
VerbrauchData,62,2.1.0,=,GWh/a,572308.3188,572308.3188,0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,99,2.10,Endenergieverbrauch GW gesamt,GWh/a,799186.5467999999,672097.5515791969,1.0,4. Verbrauch,91,Endenergieverbrauch GW gesamt,GWh/a,,798867.2532382088,663538.8323413887,0.0003995231940146441,0.012734340748152143,1.0,0.0003995231940146441,1.0,0.012734340748152143,PASS,DRIFT
VerbrauchData,63,2.1.1,Wohnfläche pro Person,qm/Person,44.7,44.7,1.0,4. Verbrauch,48,*Wohnfläche pro Person,qm/Person,1.751,44.67669791064594,44.67669791064594,0.0005212995381221743,0.0005212995381221743,1.0,0.0005212995381221743,1.0,0.0005212995381221743,PASS,PASS
VerbrauchData,64,2.1.2,Zieleinfluss Wohnflächen-Entwicklung,% v. Status,100.0,100.0,1.0,4. Verbrauch,49,*Zieleinfluss Wohnflächen-Entwicklung,% v. Status,,100,100,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
VerbrauchData,65,2.1.9,=,GWh/a,572308.3188,572308.3188,0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,66,2.2,dav.Gewerbe/Handel/Dienstl. + Industr.,%,28.4,28.4,1.0,4. Verbrauch,52,"*dav.Gewerbe,Handel,Dienstl. + Industr.",%,1.756,28.35906232132647,28.35906232132647,0.0014414675589270907,0.0014414675589270907,1.0,0.0014414675589270907,1.0,0.0014414675589270907,DRIFT,DRIFT
VerbrauchData,67,2.2.0,=,GWh/a,226878.22799999997,226878.22799999997,0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,68,2.2.1,Zieleinfluss Erwerbstätigkeit,% v. Status,100.0,100.0,1.0,4. Verbrauch,54,*Zieleinfluss Erwerbstätigkeit,% v. Status,1.761,100,100,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
VerbrauchData,69,2.2.9,=,GWh/a,226878.22799999997,226878.22799999997,0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,70,2.3,Bedarfsniveau (Wohnfläche/Wirtschaftl.Entw.),GWh/a,799186.5468,799186.5468,1.0,4. Verbrauch,57,=Bedarfsniveau (Wohnfläche/Wirtschaftl.Entw.),GWh/a,,798867.2532382088,798867.2532382088,0.0003995231940147897,0.0003995231940147897,1.0,0.0003995231940147897,1.0,0.0003995231940147897,PASS,PASS
VerbrauchData,71,2.4,davon Raumwärme,%,85.9,85.9,1.0,4. Verbrauch,58,*davon Raumwärme,%,1.767,85.92911239479102,85.92911239479102,0.00033879547896713134,0.00033879547896713134,1.0,0.00033879547896713134,1.0,0.00033879547896713134,PASS,PASS
VerbrauchData,72,2.4.0,=,GWh/a,686501.2437012,686501.2437012,0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,73,2.4.1,Spez.Raumwärmebed.Status/Saniert,kWh/qm/a,136.0,80.0,1.0,4. Verbrauch,60,Spez.Raumwärmebed.Status/Saniert,kWh/qm/a,1.772,136,75,0.0,0.0625,1.0,0.0,1.0,0.0625,EXACT,DRIFT
VerbrauchData,74,2.4.2,= Veränderung zum Status,% v.Status,100.0,-41.17647058823529,1.0,4. Verbrauch,61,=Veränderung zum Status,% v.Status,,99.99999999999999,-44.85294117647059,0.0,0.08196721311475416,1.0,0.0,1.0,0.08196721311475416,EXACT,DRIFT
VerbrauchData,75,2.4.3,Gebäude - Sanierungs-/Ersatzrate,%/a,1.5,1.5,1.0,4. Verbrauch,63,Gebäude - Sanierungs-/Ersatzrate ,%/a,1.781,1.5,,0.0,,1.0,0.0,,,EXACT,NO_DATA
VerbrauchData,76,2.4.4,Sanierungszeitraum: 22 Jahre,Kalenderjahr,2023.0,2045.0,1.0,4. Verbrauch,64,Sanierungszeitraum: 22 Jahre,Kalenderjahr,1.784,2023,2045,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
VerbrauchData,77,2.4.5,= Gebäudeanteil mit Ziel-Wärmeschutz,% v.Status,0.0,33.0,1.0,4. Verbrauch,65,*=Gebäudeanteil mit Ziel-Wärmeschutz,% v.Status,,0,33,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
VerbrauchData,78,2.4.6,= Result.spez.Raumwärmebed. ges.,kWh/qm/a,136.0,117.51999999999998,1.0,4. Verbrauch,66,=Result.spez.Raumwärmebed. ges.,kWh/qm/a,,136,115.86999999999999,0.0,0.014040163376446492,1.0,0.0,1.0,0.014040163376446492,EXACT,DRIFT
VerbrauchData,79,2.4.7,= Raumwärmebedarf Veränderung,% v.Status,0.0,-13.588235294117647,1.0,4. Verbrauch,67,*=Raumwärmebedarf Veränderung,% v.Status,,0,-14.801470588235293,0.0,0.08196721311475408,1.0,0.0,1.0,0.08196721311475408,EXACT,DRIFT
VerbrauchData,80,2.4.9,= Bedarfsniveau (Sanierung/Ersatz),GWh/a,686501.2437012,593217.8394100369,1.0,4. Verbrauch,68,+=Bedarfsniveau (Sanierung/Ersatz),GWh/a,,686459.5399202403,584853.4330188107,6.07482962956745e-05,0.014100058756737213,1.0,6.07482962956745e-05,1.0,0.014100058756737213,PASS_COSMETIC,DRIFT
VerbrauchData,81,2.5,davon Warmwasser,%,14.1,14.1,1.0,4. Verbrauch,70,*davon Warmwasser,%,1.789,14.070887605208974,14.070887605208974,0.0020647088504273845,0.0020647088504273845,1.0,0.0020647088504273845,1.0,0.0020647088504273845,DRIFT,DRIFT
VerbrauchData,82,2.5.0,=,GWh/a,112685.3030988,112685.3030988,0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,83,2.5.1,Zieleinfluss Anwendungs-/Prozess-Effizienz,%,100.0,70.0,1.0,4. Verbrauch,72,*Zieleinfluss Anwendungs-/Prozess-Effizienz,%,1.794,100,70,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
VerbrauchData,84,2.5.2,=,GWh/a,112685.3030988,78879.71216915999,0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,85,2.5.3,= Res. Anteil Warmwasser an Gebäudew.,%,14.099999999999998,11.736348686856534,1.0,4. Verbrauch,74,=Res. Anteil Warmwasser an Gebäudew.,%,,14.070887605208974,11.858446783728635,0.0020647088504272587,0.010296297575803574,1.0,0.0020647088504272587,1.0,0.010296297575803574,DRIFT,DRIFT
VerbrauchData,86,2.6,Bedarfsniveau (Sanierung/ Anwendungseff.),GWh/a,799186.5468,672097.5515791969,1.0,4. Verbrauch,75,"=Bedarfsniveau (Sanierung, Anwendungseff.)",GWh/a,,798867.2532382088,663538.8323413887,0.0003995231940147897,0.012734340748152143,1.0,0.0003995231940147897,1.0,0.012734340748152143,PASS,DRIFT
VerbrauchData,87,2.7,davon Brennstoffe,% v. [75],79.2,0.0,1.0,4. Verbrauch,76,*davon Brennstoffe,% v. [75] ,1.810,79.16331241968767,0,0.0004632270241456073,0.0,1.0,0.0004632270241456073,1.0,0.0,PASS,EXACT
VerbrauchData,88,2.7.0,= Endenergieverbrauch,GWh/a,632955.7450656,0.0,1.0,4. Verbrauch,77,=Endenergieverbrauch,GWh/a,,632409.7794995407,0,0.0008625651482202083,0.0,1.0,0.0008625651482202083,1.0,0.0,PASS,EXACT
VerbrauchData,89,2.7.1,> Nutzungsgrad Endanwendung,%,86.0,88.0,1.0,4. Verbrauch,78,>Nutzungsgrad Endanwendung ,%,1.816,86,88,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
VerbrauchData,90,2.7.2,> Wandlungsverluste Endanwendung,% v. [75],11.088000000000001,0.0,1.0,4. Verbrauch,79,>Wandlungsverluste Endanwendung,% v. [75] ,,11.082863738756275,0,0.000463227024145524,0.0,1.0,0.000463227024145524,1.0,0.0,PASS,EXACT
VerbrauchData,91,2.7.3,= Einsparung gegenüber Status (relativ),% v. [75],0.0,11.088000000000001,1.0,4. Verbrauch,80,=Einsparung gegenüber Status (relativ),% v. [75] ,,0,11.082863738756275,0.0,0.000463227024145524,1.0,0.0,1.0,0.000463227024145524,EXACT,PASS
VerbrauchData,92,2.7.4,= Einsparung gegenüber Status (absolut),GWh/a,0.0,0.0,0.597,4. Verbrauch,81,                                            (absolut),GWh/a,,0,0,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
VerbrauchData,93,2.8,davon Wärme (30-100°C/verlustarm nutzbar),% v. [75],16.7,79.47464129801271,1.0,4. Verbrauch,83,"*davon Wärme (30-100°C,verlustarm nutzbar)",% v. [75] ,1.804,16.72123810040408,79.50066097332919,0.0012701272642943106,0.0003272887922932536,1.0,0.0012701272642943106,1.0,0.0003272887922932536,DRIFT,PASS
VerbrauchData,94,2.8.0,= Endenergieverbrauch,GWh/a,133464.15331559998,534147.1182902928,1.0,4. Verbrauch,77,=Endenergieverbrauch,GWh/a,,632409.7794995407,0,0.7889593778558939,1.0,1.0,0.7889593778558939,1.0,1.0,DRIFT,DRIFT
VerbrauchData,95,2.9,davon Strom (verlustarm nutzb.),% v. [75],4.099999999999994,20.525358701987287,1.0,4. Verbrauch,86,*davon Strom (verlustarm nutzb.),% v. [75] ,1.799,4.11544947990825,20.49933902667081,0.0037540200611574648,0.0012676843164722406,1.0,0.0037540200611574648,1.0,0.0012676843164722406,DRIFT,DRIFT
VerbrauchData,96,2.9.0,= Endenergieverbrauch,GWh/a,32766.648418799956,137950.4332889042,1.0,4. Verbrauch,77,=Endenergieverbrauch,GWh/a,,632409.7794995407,0,0.9481876316891716,1.0,100.0,0.8069958906335096,1.0,1.0,DRIFT_SCALE_100.0,DRIFT
VerbrauchData,97,2.9.1,davon für Wärmepumpen,%,30.8484403739032,100.0,1.0,4. Verbrauch,88,davon für Wärmepumpen,%,,30.744918017730317,100,0.003355837602099908,0.0,1.0,0.003355837602099908,1.0,0.0,DRIFT,EXACT
VerbrauchData,98,2.9.2,=,GWh/a,10108.0,137950.4332889042,0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,168,3.0,Bedarfsniveau (statisch),GWh/a,555395.0,555395.0,1.0,4. Verbrauch,45,Bedarfsniveau (statisch),GWh/a,,798867.2532382089,798867.2532382089,0.3047718532100221,0.3047718532100221,1.0,0.3047718532100221,1.0,0.3047718532100221,DRIFT,DRIFT
VerbrauchData,169,3.1,davon Haushalte,%,8.7164,8.7164,1.0,4. Verbrauch,23,*davon Haushalte,%,1.700,18.60082304526749,18.60082304526749,0.5313970796460177,0.5313970796460177,1.0,0.5313970796460177,1.0,0.5313970796460177,DRIFT,DRIFT
VerbrauchData,170,3.1.0,=,GWh/a,48410.44978,48410.44978,0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,171,3.1.1,Zieleinfluss Endanwendungs-Effizienz,%,100.0,95.0,1.0,4. Verbrauch,25,*Zieleinfluss Endanwendungs-Effizienz,%,1.705,100,95,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
VerbrauchData,172,3.1.2,=,GWh/a,48410.44978,45989.927291,0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,173,3.2,dav.Industrie + Gewerbeant.GHD,%,91.2835,91.2835,0.0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,174,3.2.0,=,GWh/a,506983.994825,506983.994825,0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,175,3.2.1,Zieleinfluss Materialdurchsatz/Pers.,%,100.0,100.0,1.0,4. Verbrauch,37,*Zieleinfluss Materialdurchsatz/Pers.,%,1.733,100,100,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
VerbrauchData,190,3.2.1.5,=,GWh/a,506983.994825,506983.994825,0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,176,3.2.2,Zieleinfluss Prozess-Effizienz,%,100.0,89.00004,1.0,4. Verbrauch,32,*Zieleinfluss Prozess-Effizienz,%,1.722,100,95,0.0,0.06315747368421054,1.0,0.0,1.0,0.06315747368421054,EXACT,DRIFT
VerbrauchData,177,3.2.3,=,GWh/a,506983.994825,451215.958187848,0,,,,,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,178,3.3,"Bedarfsniveau (Prod.-Vol., Proz.-Effiz.)",GWh/a,555394.444605,497205.885478848,1.0,4. Verbrauch,107,"Bedarfsniveau (Prod.-Vol., Proz.-Effiz.)",GWh/a,,555394.5695538963,497205.81289076584,2.2497320499844237e-07,1.459920010806106e-07,1.0,2.2497320499844237e-07,1.0,1.459920010806106e-07,PASS_COSMETIC,PASS_COSMETIC
VerbrauchData,179,3.4,davon Brennstoffe,%,60.3,26.69623513695287,1.0,4. Verbrauch,76,*davon Brennstoffe,% v. [75] ,1.810,79.16331241968767,0,0.2382835159762267,1.0,1.0,0.2382835159762267,0.0001,0.002669623513695287,DRIFT,DRIFT_SCALE_0.0001
VerbrauchData,180,3.4.0,= Endenergieverbrauch,GWh/a,334902.850096815,132735.25230220184,1.0,4. Verbrauch,77,=Endenergieverbrauch,GWh/a,,632409.7794995407,0,0.47043378999951374,1.0,1.0,0.47043378999951374,1.0,1.0,DRIFT,DRIFT
VerbrauchData,181,3.4.1,> Nutzungsgrad Endanwendung,%,86.0,88.0,1.0,4. Verbrauch,78,>Nutzungsgrad Endanwendung ,%,1.816,86,88,0.0,0.0,1.0,0.0,1.0,0.0,EXACT,EXACT
VerbrauchData,182,3.4.2,> Wandlungsverluste Endanwendung,%,8.442,3.203548216434344,1.0,4. Verbrauch,79,>Wandlungsverluste Endanwendung,% v. [75] ,,11.082863738756275,0,0.23828351597622677,1.0,1.0,0.23828351597622677,0.0001,0.0003203548216434344,DRIFT,PASS
VerbrauchData,183,3.4.3,= Einsparung gegenüber Status (relativ),%,0.0,5.238451783565656,1.0,4. Verbrauch,80,=Einsparung gegenüber Status (relativ),% v. [75] ,,0,11.082863738756275,0.0,0.5273377073790931,1.0,0.0,1.0,0.5273377073790931,EXACT,DRIFT
VerbrauchData,184,3.4.4,= Einsparung gegenüber Status (absolut),GWh/a,0.0,6953.272191645067,0.597,4. Verbrauch,81,                                            (absolut),GWh/a,,0,0,0.0,1.0,1.0,0.0,0.0001,0.6953272191645068,EXACT,DRIFT_SCALE_0.0001
VerbrauchData,185,3.5,"davon Wärme (>100°C,verlustarm nutzbar)",%,25.9,0.0,1.0,4. Verbrauch,115,"*davon Wärme (>100°C,verlustarm nutzbar)",% v. [107] ,1.862,25.85036844644735,0,0.001916276198943901,0.0,1.0,0.001916276198943901,1.0,0.0,DRIFT,EXACT
VerbrauchData,186,3.5.0,= Endenergieverbrauch,GWh/a,143847.161152695,0.0,1.0,4. Verbrauch,77,=Endenergieverbrauch,GWh/a,,632409.7794995407,0,0.7725412132833733,0.0,1.0,0.7725412132833733,1.0,0.0,DRIFT,EXACT
VerbrauchData,187,3.6,davon Strom (verlustarm nutzbar),%,12.895500000000004,71.90529545737054,1.0,4. Verbrauch,117,*davon Strom (verlustarm nutzbar),% v. [107] ,1.867,13.84399769211699,71.90263597624742,0.06851328013851639,3.698588686968744e-05,1.0,0.06851328013851639,1.0,3.698588686968744e-05,DRIFT,PASS_COSMETIC
VerbrauchData,188,3.6.0,= Endenergieverbrauch,GWh/a,71620.89060403779,357517.3609850011,1.0,4. Verbrauch,77,=Endenergieverbrauch,GWh/a,,632409.7794995407,0,0.8867492361349706,1.0,1.0,0.8867492361349706,1.0,1.0,DRIFT,DRIFT
VerbrauchData,189,3.7,Endenergieverbrauch PW gesamt,GWh/a,550370.9018535478,490252.6132872029,1.0,4. Verbrauch,120,Endenergieverbrauch PW gesamt,GWh/a,,555394.5695538963,490251.25188732275,0.009045222938322292,2.7769354884544006e-06,1.0,0.009045222938322292,1.0,2.7769354884544006e-06,DRIFT,PASS_COSMETIC
VerbrauchData,191,4.0,Mobile Anwendungen (MA),GWh/a,,,1.0,4. Verbrauch,122,Mobile Anwendungen (MA),,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,192,4.1,"MA am Boden (Straße, Schiene, Schifffahrt, Maschinen)",GWh/a,100.0,100.0,1.0,4. Verbrauch,123,"MA am Boden (Straße, Schiene, Schifffahrt, Maschinen)",,,,,,,,,,,NO_DATA,NO_DATA
VerbrauchData,193,4.1.0,Bedarfsniveau (statisch),GWh/a,639193.0,639193.0,1.0,4. Verbrauch,45,Bedarfsniveau (statisch),GWh/a,,798867.2532382089,798867.2532382089,0.19987582741809637,0.19987582741809637,1.0,0.19987582741809637,1.0,0.19987582741809637,DRIFT,DRIFT
VerbrauchData,194,4.1.1,davon Personenverkehr (PVk),%,67.4,67.4,1.0,4. Verbrauch,125,*davon Personenverkehr (PVk),%,1.876,67.41832181954476,67.41832181954476,0.0002717632099148568,0.0002717632099148568,1.0,0.0002717632099148568,1.0,0.0002717632099148568,PASS,PASS
