formula_id,formula_key,formula_category,formula_type,is_fixed,db_expression,excel_book,excel_sheet,excel_cell,resolution_note,oos_reason
844,10.3_ziel_target,renewable,ziel,False,Renewable_10_3_1,_S.xlsx,2. Erneuerbare,M236,Via renewable_to_excel.csv ('Kraft/Licht/Inform.Komm.Tech./Kälte'),
231,10.4,renewable,status,False,Renewable_10_4_1 + Renewable_10_4_3 + Renewable_10_4_2,_S.xlsx,2. Erneuerbare,L10,Via renewable_to_excel.csv ('Gebäudewärme'),
232,10.4.1,renewable,status,False,Renewable_10_4_1_3 + Renewable_10_4_1_1 + Renewable_10_4_1_2,_S.xlsx,2. Erneuerbare,L240,Via renewable_to_excel.csv ('davon Brennstoffe'),
233,10.4.1.1,renewable,status,False,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,L241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
848,10.4.1.1_ziel_target,renewable,ziel,False,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,M241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
234,10.4.1.2,renewable,status,False,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,L241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
849,10.4.1.2_ziel_target,renewable,ziel,False,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,M241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
235,10.4.1.3,renewable,status,False,Renewable_4_3_1,_S.xlsx,2. Erneuerbare,L241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
850,10.4.1.3_ziel_target,renewable,ziel,False,Renewable_4_3_1,_S.xlsx,2. Erneuerbare,M241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
847,10.4.1_ziel_target,renewable,ziel,False,Renewable_10_4_1_3 + Renewable_10_4_1_1 + Renewable_10_4_1_2,_S.xlsx,2. Erneuerbare,M240,Via renewable_to_excel.csv ('davon Brennstoffe'),
236,10.4.2,renewable,status,False,Renewable_1_1_1_1_2 + Renewable_7_1_2_3 + Renewable_7_1_4_3 + Renewable_5_4_2_4 + Renewable_6_1_3_2_4 + Renewable_8_2 + Renewable_4_4_2 + Renewable_9_3_2_1,_S.xlsx,2. Erneuerbare,L245,Via renewable_to_excel.csv ('davon Wärme'),
1267,10.4.2_target,renewable,ziel,False,Renewable_1_1_1_1_2_target + Renewable_7_1_2_3_target + Renewable_7_1_4_3_target + Renewable_5_4_2_4_target + Renewable_6_1_3_2_4_target + Renewable_8_2_target + Renewable_4_4_2_target + Renewable_9_3_2_1_target,_S.xlsx,2. Erneuerbare,M245,Via renewable_to_excel.csv ('davon Wärme'),
237,10.4.3,renewable,status,False,Verbrauch_2_9_0 * Renewable_10_2_2 / 100,_S.xlsx,2. Erneuerbare,L237,Via renewable_to_excel.csv ('davon Strom'),
852,10.4.3_ziel_target,renewable,ziel,False,Verbrauch_2_9_0 * Renewable_10_2_2 / 100,_S.xlsx,2. Erneuerbare,M237,Via renewable_to_excel.csv ('davon Strom'),
846,10.4_ziel_target,renewable,ziel,False,Renewable_10_4_1 + Renewable_10_4_3 + Renewable_10_4_2,_S.xlsx,2. Erneuerbare,M10,Via renewable_to_excel.csv ('Gebäudewärme'),
238,10.5,renewable,status,False,Renewable_10_5_1 + Renewable_10_5_3 + Renewable_10_5_2,_S.xlsx,2. Erneuerbare,L63,Via renewable_to_excel.csv ('Prozesswärme'),
239,10.5.1,renewable,status,False,Renewable_10_5_1_1 + Renewable_10_5_1_2 + Renewable_10_5_1_3 + Renewable_10_5_1_4,_S.xlsx,2. Erneuerbare,L240,Via renewable_to_excel.csv ('davon Brennstoffe'),
240,10.5.1.1,renewable,status,False,Renewable_5_4_1_1,_S.xlsx,2. Erneuerbare,L241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
855,10.5.1.1_ziel_target,renewable,ziel,False,Renewable_5_4_1_1,_S.xlsx,2. Erneuerbare,M241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
241,10.5.1.2,renewable,status,False,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,L251,Via renewable_to_excel.csv ('davon Wasserstoff'),
856,10.5.1.2_ziel_target,renewable,ziel,False,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,M251,Via renewable_to_excel.csv ('davon Wasserstoff'),
242,10.5.1.3,renewable,status,False,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,L241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
857,10.5.1.3_ziel_target,renewable,ziel,False,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,M241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
243,10.5.1.4,renewable,status,False,Renewable_4_3_2,_S.xlsx,2. Erneuerbare,L241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
858,10.5.1.4_ziel_target,renewable,ziel,False,Renewable_4_3_2,_S.xlsx,2. Erneuerbare,M241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
854,10.5.1_ziel_target,renewable,ziel,False,Renewable_10_5_1_1 + Renewable_10_5_1_2 + Renewable_10_5_1_3 + Renewable_10_5_1_4,_S.xlsx,2. Erneuerbare,M240,Via renewable_to_excel.csv ('davon Brennstoffe'),
244,10.5.2,renewable,status,False,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,L245,Via renewable_to_excel.csv ('davon Wärme'),
859,10.5.2_ziel_target,renewable,ziel,False,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,M245,Via renewable_to_excel.csv ('davon Wärme'),
245,10.5.3,renewable,status,False,Verbrauch_3_6_0 * Renewable_10_2_2 / 100,_S.xlsx,2. Erneuerbare,L237,Via renewable_to_excel.csv ('davon Strom'),
860,10.5.3_target,renewable,ziel,False,Verbrauch_3_6_0_ziel * Renewable_10_2_2_target / 100,_S.xlsx,2. Erneuerbare,M237,Via renewable_to_excel.csv ('davon Strom'),
853,10.5_ziel_target,renewable,ziel,False,Renewable_10_5_1 + Renewable_10_5_3 + Renewable_10_5_2,_S.xlsx,2. Erneuerbare,M63,Via renewable_to_excel.csv ('Prozesswärme'),
246,10.6,renewable,status,False,Renewable_10_6_1 + Renewable_10_6_2,_S.xlsx,2. Erneuerbare,L258,Via renewable_to_excel.csv ('Mobile Anwendungen'),
247,10.6.1,renewable,status,False,Renewable_10_6_1_1 + Renewable_10_6_1_2 + Renewable_10_6_1_3,_S.xlsx,2. Erneuerbare,L259,Via renewable_to_excel.csv ('davon Kraftstoffe'),
248,10.6.1.1,renewable,status,False,FIXED VALUE: davon Wasserstoff (FC-Traktion),_S.xlsx,2. Erneuerbare,L251,Via renewable_to_excel.csv ('davon Wasserstoff'),
863,10.6.1.1_ziel_target,renewable,ziel,False,FIXED VALUE: davon Wasserstoff (FC-Traktion),_S.xlsx,2. Erneuerbare,M251,Via renewable_to_excel.csv ('davon Wasserstoff'),
249,10.6.1.2,renewable,status,False,Renewable_5_4_3_2,_S.xlsx,2. Erneuerbare,L241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
864,10.6.1.2_ziel_target,renewable,ziel,False,Renewable_5_4_3_2,_S.xlsx,2. Erneuerbare,M241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
250,10.6.1.3,renewable,status,False,Renewable_6_1_3_1_1 + Renewable_6_2_3 + Renewable_9_2_1_3,_S.xlsx,2. Erneuerbare,L252,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe flüssig'),
865,10.6.1.3_ziel_target,renewable,ziel,False,Renewable_6_1_3_1_1 + Renewable_6_2_3 + Renewable_9_2_1_3,_S.xlsx,2. Erneuerbare,M252,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe flüssig'),
862,10.6.1_ziel_target,renewable,ziel,False,Renewable_10_6_1_1 + Renewable_10_6_1_2 + Renewable_10_6_1_3,_S.xlsx,2. Erneuerbare,M259,Via renewable_to_excel.csv ('davon Kraftstoffe'),
251,10.6.2,renewable,status,False,Verbrauch_6_2 * Renewable_10_2_2 / 100,_S.xlsx,2. Erneuerbare,L237,Via renewable_to_excel.csv ('davon Strom'),
866,10.6.2_ziel_target,renewable,ziel,False,Verbrauch_6_2 * Renewable_10_2_2 / 100,_S.xlsx,2. Erneuerbare,M237,Via renewable_to_excel.csv ('davon Strom'),
861,10.6_ziel_target,renewable,ziel,False,Renewable_10_6_1 + Renewable_10_6_2,_S.xlsx,2. Erneuerbare,M258,Via renewable_to_excel.csv ('Mobile Anwendungen'),
252,10.7,renewable,status,False,Renewable_10_7_1 + Renewable_10_7_2 + Renewable_10_7_3 + Renewable_10_7_4,_S.xlsx,2. Erneuerbare,L48,Via renewable_to_excel.csv ('Brennstoffe'),
253,10.7.1,renewable,status,False,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,L251,Via renewable_to_excel.csv ('davon Wasserstoff'),
868,10.7.1_ziel_target,renewable,ziel,False,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,M251,Via renewable_to_excel.csv ('davon Wasserstoff'),
254,10.7.2,renewable,status,False,Renewable_5_4_3_2 + Renewable_5_4_1_1,_S.xlsx,2. Erneuerbare,L241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
869,10.7.2_ziel_target,renewable,ziel,False,Renewable_5_4_3_2 + Renewable_5_4_1_1,_S.xlsx,2. Erneuerbare,M241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
255,10.7.3,renewable,status,False,Renewable_10_6_1_3,_S.xlsx,2. Erneuerbare,L241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
870,10.7.3_ziel_target,renewable,ziel,False,Renewable_10_6_1_3,_S.xlsx,2. Erneuerbare,M241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
256,10.7.4,renewable,status,False,Renewable_4_3_1 + Renewable_4_3_2,_S.xlsx,2. Erneuerbare,L241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
871,10.7.4_ziel_target,renewable,ziel,False,Renewable_4_3_1 + Renewable_4_3_2,_S.xlsx,2. Erneuerbare,M241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
867,10.7_ziel_target,renewable,ziel,False,Renewable_10_7_1 + Renewable_10_7_2 + Renewable_10_7_3 + Renewable_10_7_4,_S.xlsx,2. Erneuerbare,M48,Via renewable_to_excel.csv ('Brennstoffe'),
257,10.8,renewable,status,False,Renewable_9_2_1_4,_S.xlsx,2. Erneuerbare,L272,Via renewable_to_excel.csv ('Grundstoff Methan'),
872,10.8_ziel_target,renewable,ziel,False,Renewable_9_2_1_4,_S.xlsx,2. Erneuerbare,M272,Via renewable_to_excel.csv ('Grundstoff Methan'),
258,10.9,renewable,status,True,CATEGORY: No calculation,_S.xlsx,2. Erneuerbare,L274,Via renewable_to_excel.csv ('Primärenergie-Einsatz Biobrennstoffe'),
259,10.9.1,renewable,status,False,Renewable_10_9_1_1 + Renewable_10_9_1_2 + Renewable_10_9_1_3,_S.xlsx,2. Erneuerbare,L48,Via renewable_to_excel.csv ('Brennstoffe'),
260,10.9.1.1,renewable,status,False,Renewable_5_1_2 + Renewable_5_2 + Renewable_5_3,_S.xlsx,2. Erneuerbare,L241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
875,10.9.1.1_ziel_target,renewable,ziel,False,Renewable_5_1_2 + Renewable_5_2 + Renewable_5_3,_S.xlsx,2. Erneuerbare,M241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
261,10.9.1.2,renewable,status,False,Renewable_6_1_1_2 + Renewable_6_1_2 + Renewable_6_2_2 + Renewable_6_2_1_2,_S.xlsx,2. Erneuerbare,L241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
876,10.9.1.2_ziel_target,renewable,ziel,False,Renewable_6_1_1_2 + Renewable_6_1_2 + Renewable_6_2_2 + Renewable_6_2_1_2,_S.xlsx,2. Erneuerbare,M241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
262,10.9.1.3,renewable,status,False,Renewable_4_3 + Renewable_4_4,_S.xlsx,2. Erneuerbare,L241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
877,10.9.1.3_ziel_target,renewable,ziel,False,Renewable_4_3 + Renewable_4_4,_S.xlsx,2. Erneuerbare,M241,Via renewable_to_excel.csv ('davon Kohlenwasserstoffe'),
874,10.9.1_ziel_target,renewable,ziel,False,Renewable_10_9_1_1 + Renewable_10_9_1_2 + Renewable_10_9_1_3,_S.xlsx,2. Erneuerbare,M48,Via renewable_to_excel.csv ('Brennstoffe'),
873,10.9_ziel_target,renewable,ziel,True,CATEGORY: No calculation,_S.xlsx,2. Erneuerbare,M274,Via renewable_to_excel.csv ('Primärenergie-Einsatz Biobrennstoffe'),
839,10_ziel_target,renewable,ziel,True,,_S.xlsx,2. Erneuerbare,M229,Via renewable_to_excel.csv ('Endenergieangebot aus erneuerbaren Quellen gesamt'),
1,1.1,renewable,status,False,LandUse_LU_1.1,_S.xlsx,2. Erneuerbare,L6,Via renewable_to_excel.csv ('Solare Dachflächen'),
216,1.1.1,renewable,status,True,Renewable_1_1_1_1_1 + Renewable_1_1_1_1_2 + Renewable_1_1_1_1 + Renewable_4_1_1_1_1 + Renewable_4_1_1_1_1_1 + Renewable_4_1_1_1_1_2 + Renewable_9_2_1_1_1_1,_S.xlsx,2. Erneuerbare,L7,Via renewable_to_excel.csv ('Solarthermie'),
217,1.1.1.1,renewable,status,True,,_S.xlsx,2. Erneuerbare,L8,Via renewable_to_excel.csv ('Anteil an solaren Dachflächen'),
218,1.1.1.1.1,renewable,status,True,,_S.xlsx,2. Erneuerbare,L9,Via renewable_to_excel.csv ('Energieertrag'),
825,1.1.1.1.1_ziel_target,renewable,ziel,True,,_S.xlsx,2. Erneuerbare,M9,Via renewable_to_excel.csv ('Energieertrag'),
2,1.1.1.1.2,renewable,status,False,Renewable_1_1 * (Renewable_1_1_1_1/100) * Renewable_1_1_1_1_1 / 1000,_S.xlsx,2. Erneuerbare,L10,Via renewable_to_excel.csv ('Gebäudewärme'),
826,1.1.1.1.2_ziel_target,renewable,ziel,False,Renewable_1_1 * (Renewable_1_1_1_1/100) * Renewable_1_1_1_1_1 / 1000,_S.xlsx,2. Erneuerbare,M10,Via renewable_to_excel.csv ('Gebäudewärme'),
824,1.1.1.1_ziel_target,renewable,ziel,True,,_S.xlsx,2. Erneuerbare,M8,Via renewable_to_excel.csv ('Anteil an solaren Dachflächen'),
823,1.1.1_ziel_target,renewable,ziel,True,Renewable_1_1_1_1_1 + Renewable_1_1_1_1_2 + Renewable_1_1_1_1 + Renewable_4_1_1_1_1 + Renewable_4_1_1_1_1_1 + Renewable_4_1_1_1_1_2 + Renewable_9_2_1_1_1_1,_S.xlsx,2. Erneuerbare,M7,Via renewable_to_excel.csv ('Solarthermie'),
219,1.1.2,renewable,status,True,Renewable_1_1_2_1 + Renewable_2_1_1_2_1 + Renewable_2_1_1_2_2 + Renewable_2_1_1_2_3 + Renewable_4_2_1_1_2_1 + Renewable_4_2_1_1_2_2 + Renewable_4_2_1_1_2_3 + Renewable_4_2_1_1_2_4,_S.xlsx,2. Erneuerbare,L12,Via renewable_to_excel.csv ('Solarstrom'),
3,1.1.2.1,renewable,status,False,100 - Renewable_1_1_1_1,_S.xlsx,2. Erneuerbare,L8,Via renewable_to_excel.csv ('Anteil an solaren Dachflächen (Strom)'),
220,1.1.2.1.1,renewable,status,True,,_S.xlsx,2. Erneuerbare,L9,Via renewable_to_excel.csv ('Energieertrag'),
829,1.1.2.1.1_target,renewable,ziel,False,Renewable_1_1_zeil *Renewable_1_1_2_1_zeil/100* Renewable_1_1_2_1_1_zeil,_S.xlsx,2. Erneuerbare,M9,Via renewable_to_excel.csv ('Energieertrag'),
4,1.1.2.1.2,renewable,status,False,Renewable_1_1 * Renewable_1_1_2_1 / 100 * Renewable_1_1_2_1_1 / 1000,_S.xlsx,2. Erneuerbare,L15,Via renewable_to_excel.csv ('Bruttostromerzeugung'),
221,1.1.2.1.2.1,renewable,status,True,,_S.xlsx,2. Erneuerbare,L16,Via renewable_to_excel.csv ('Vollbetriebstunden jährlich'),
831,1.1.2.1.2.1_ziel_target,renewable,ziel,True,,_S.xlsx,2. Erneuerbare,M16,Via renewable_to_excel.csv ('Vollbetriebstunden jährlich'),
5,1.1.2.1.2.2,renewable,status,False,Renewable_1_1_2_1_2 / Renewable_1_1_2_1_2_1 * 1000,_S.xlsx,2. Erneuerbare,L17,Via renewable_to_excel.csv ('Installierte Leistung'),
832,1.1.2.1.2.2_target,renewable,ziel,False,Renewable_1_1_2_1_2_ziel / Renewable_1_1_2_1_2_1_ziel * 1000,_S.xlsx,2. Erneuerbare,M17,Via renewable_to_excel.csv ('Installierte Leistung'),
830,1.1.2.1.2_target,renewable,ziel,False,Renewable_1_1_ziel * Renewable_1_1_2_1_ziel / 100 * Renewable_1_1_2_1_1_ziel / 1000,_S.xlsx,2. Erneuerbare,M15,Via renewable_to_excel.csv ('Bruttostromerzeugung'),
1269,1.1.2.1_target,renewable,ziel,False,100-Renewable_1_1_1_1_ziel,_S.xlsx,2. Erneuerbare,M8,Via renewable_to_excel.csv ('Anteil an solaren Dachflächen (Strom)'),
828,1.1.2.1_ziel_target,renewable,ziel,False,100 - AnteilThermie,_S.xlsx,2. Erneuerbare,M8,Via renewable_to_excel.csv ('Anteil an solaren Dachflächen (Strom)'),
827,1.1.2_ziel_target,renewable,ziel,True,Renewable_1_1_2_1 + Renewable_2_1_1_2_1 + Renewable_2_1_1_2_2 + Renewable_2_1_1_2_3 + Renewable_4_2_1_1_2_1 + Renewable_4_2_1_1_2_2 + Renewable_4_2_1_1_2_3 + Renewable_4_2_1_1_2_4,_S.xlsx,2. Erneuerbare,M12,Via renewable_to_excel.csv ('Solarstrom'),
1036,11.3,renewable,status,False,Renewable_11_1+ Renewable_11_2,,,,,CHAINED_OOS — resolved via renewable_to_excel.csv which has no mapping for code. Likely a summary/chapter formula row (upstream aggregate).
1037,11.3_target,renewable,ziel,False,Renewable_11_1+Renewable_11_2,,,,,CHAINED_OOS — resolved via renewable_to_excel.csv which has no mapping for code. Likely a summary/chapter formula row (upstream aggregate).
1121,11.4,renewable,status,False,Renewable_11_1+Renewable_11_2,,,,,CHAINED_OOS — resolved via renewable_to_excel.csv which has no mapping for code. Likely a summary/chapter formula row (upstream aggregate).
822,1.1_ziel_target,renewable,ziel,False,LandUse_LU_1.1,_S.xlsx,2. Erneuerbare,M6,Via renewable_to_excel.csv ('Solare Dachflächen'),
6,1.2,renewable,status,False,LandUse_LU_2.1,_S.xlsx,2. Erneuerbare,L19,Via renewable_to_excel.csv ('Solar genutzte Freiflächen'),
1186,12,renewable,status,False,Renewable_11_1+Renewable_11_2,,,,,CHAINED_OOS — resolved via renewable_to_excel.csv which has no mapping for code. Likely a summary/chapter formula row (upstream aggregate).
7,1.2.1,renewable,status,True,Renewable_1_1_2_1_1 + Renewable_1_1_2_1_2 + Renewable_1_2_1_1 + Renewable_1_2_1_2 + Renewable_4_1_2_1_1 + Renewable_4_1_2_1_2,_S.xlsx,2. Erneuerbare,L12,Via renewable_to_excel.csv ('Solarstrom'),
222,1.2.1.1,renewable,status,True,,_S.xlsx,2. Erneuerbare,L9,Via renewable_to_excel.csv ('Energieertrag'),
835,1.2.1.1_ziel_target,renewable,ziel,True,,_S.xlsx,2. Erneuerbare,M9,Via renewable_to_excel.csv ('Energieertrag'),
8,1.2.1.2,renewable,status,False,LandUse_LU_2.1 * Renewable_1_2_1_1 / 1000,_S.xlsx,2. Erneuerbare,L15,Via renewable_to_excel.csv ('Bruttostromerzeugung'),
223,1.2.1.2.1,renewable,status,True,,_S.xlsx,2. Erneuerbare,L16,Via renewable_to_excel.csv ('Vollbetriebstunden jährlich'),
837,1.2.1.2.1_ziel_target,renewable,ziel,True,,_S.xlsx,2. Erneuerbare,M16,Via renewable_to_excel.csv ('Vollbetriebstunden jährlich'),
9,1.2.1.2.2,renewable,status,False,Renewable_1_2_1_2 / Renewable_1_2_1_2_1 * 1000,_S.xlsx,2. Erneuerbare,L17,Via renewable_to_excel.csv ('Installierte Leistung'),
838,1.2.1.2.2_ziel_target,renewable,ziel,False,Renewable_1_2_1_2 / Renewable_1_2_1_2_1 * 1000,_S.xlsx,2. Erneuerbare,M17,Via renewable_to_excel.csv ('Installierte Leistung'),
836,1.2.1.2_ziel_target,renewable,ziel,False,LandUse_LU_2.1 * Renewable_1_2_1_1 / 1000,_S.xlsx,2. Erneuerbare,M15,Via renewable_to_excel.csv ('Bruttostromerzeugung'),
834,1.2.1_ziel_target,renewable,ziel,True,Renewable_1_1_2_1_1 + Renewable_1_1_2_1_2 + Renewable_1_2_1_1 + Renewable_1_2_1_2 + Renewable_4_1_2_1_1 + Renewable_4_1_2_1_2,_S.xlsx,2. Erneuerbare,M12,Via renewable_to_excel.csv ('Solarstrom'),
833,1.2_target,renewable,ziel,False,LandUse_LU_2.1_ziel,_S.xlsx,2. Erneuerbare,M19,Via renewable_to_excel.csv ('Solar genutzte Freiflächen'),
821,1_ziel_target,renewable,ziel,True,,_S.xlsx,2. Erneuerbare,M5,Via renewable_to_excel.csv ('Solarenergie'),
263,2.1,renewable,status,True,Renewable_6_2_1_1 + Renewable_6_2_1_2 + Renewable_1_1_2_1_1 + Renewable_1_1_2_1_2 + Renewable_1_2_1_1 + Renewable_1_2_1_2 + Renewable_4_1_2_1_1 + Renewable_4_1_2_1_2 + Renewable_2_2_1_1 + Renewable_2_2_1_2 + Renewable_2_1_1 + Renewable_4_2_1_1 + Renewable_9_2_1_1 + Renewable_9_2_1_2 + Renewable_9_2_1_3 + Renewable_9_2_1_4 + Renewable_9_2_1_5,_S.xlsx,2. Erneuerbare,L27,Via renewable_to_excel.csv ('Onshore-Windstrom'),
10,2.1.1,renewable,status,False,LandUse_LU_6,_S.xlsx,2. Erneuerbare,L28,Via renewable_to_excel.csv ('Windparkfläche'),
264,2.1.1.1,renewable,status,True,,_S.xlsx,2. Erneuerbare,L29,Via renewable_to_excel.csv ('spezifischer Flächenbedarf'),
880,2.1.1.1_ziel_target,renewable,ziel,True,,_S.xlsx,2. Erneuerbare,M29,Via renewable_to_excel.csv ('spezifischer Flächenbedarf'),
11,2.1.1.2,renewable,status,False,Renewable_2_1_1 / Renewable_2_1_1_1,_S.xlsx,2. Erneuerbare,L17,Via renewable_to_excel.csv ('Installierte Leistung'),
265,2.1.1.2.1,renewable,status,True,,_S.xlsx,2. Erneuerbare,L16,Via renewable_to_excel.csv ('Vollbetriebstunden jährlich'),
882,2.1.1.2.1_ziel_target,renewable,ziel,True,,_S.xlsx,2. Erneuerbare,M16,Via renewable_to_excel.csv ('Vollbetriebstunden jährlich'),
12,2.1.1.2.2,renewable,status,False,Renewable_2_1_1_2 * Renewable_2_1_1_2_1 / 1000,_S.xlsx,2. Erneuerbare,L15,Via renewable_to_excel.csv ('Bruttostromerzeugung jährlich'),
883,2.1.1.2.2_ziel_target,renewable,ziel,False,Renewable_2_1_1_2 * Renewable_2_1_1_2_1 / 1000,_S.xlsx,2. Erneuerbare,M15,Via renewable_to_excel.csv ('Bruttostromerzeugung jährlich'),
13,2.1.1.2.3,renewable,status,False,Renewable_2_1_1_2_2 * 1000 / Renewable_2_1_1,_S.xlsx,2. Erneuerbare,L9,Via renewable_to_excel.csv ('Energieertrag'),
884,2.1.1.2.3_ziel_target,renewable,ziel,False,Renewable_2_1_1_2_2 * 1000 / Renewable_2_1_1,_S.xlsx,2. Erneuerbare,M9,Via renewable_to_excel.csv ('Energieertrag'),
881,2.1.1.2_ziel_target,renewable,ziel,False,Renewable_2_1_1 / Renewable_2_1_1_1,_S.xlsx,2. Erneuerbare,M17,Via renewable_to_excel.csv ('Installierte Leistung'),
879,2.1.1_ziel_target,renewable,ziel,False,LandUse_LU_6,_S.xlsx,2. Erneuerbare,M28,Via renewable_to_excel.csv ('Windparkfläche'),
878,2.1_ziel_target,renewable,ziel,True,Renewable_6_2_1_1 + Renewable_6_2_1_2 + Renewable_1_1_2_1_1 + Renewable_1_1_2_1_2 + Renewable_1_2_1_1 + Renewable_1_2_1_2 + Renewable_4_1_2_1_1 + Renewable_4_1_2_1_2 + Renewable_2_2_1_1 + Renewable_2_2_1_2 + Renewable_2_1_1 + Renewable_4_2_1_1 + Renewable_9_2_1_1 + Renewable_9_2_1_2 + Renewable_9_2_1_3 + Renewable_9_2_1_4 + Renewable_9_2_1_5,_S.xlsx,2. Erneuerbare,M27,Via renewable_to_excel.csv ('Onshore-Windstrom'),
