formula_id,formula_key,category,formula_type,db_expression,excel_book,excel_sheet,excel_cell,excel_formula,excel_value,verdict,note,diff_category,diff_note
249,10.6.1.2,renewable,status,Renewable_5_4_3_2,_S.xlsx,2. Erneuerbare,L241,"=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)","=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
864,10.6.1.2_ziel_target,renewable,ziel,Renewable_5_4_3_2,_S.xlsx,2. Erneuerbare,M241,"=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)","=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
250,10.6.1.3,renewable,status,Renewable_6_1_3_1_1 + Renewable_6_2_3 + Renewable_9_2_1_3,_S.xlsx,2. Erneuerbare,L252,"=SUMIF($AD$5:$AD$228,$AD252,L$5:L$228)","=SUMIF($AD$5:$AD$228,$AD252,L$5:L$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
865,10.6.1.3_ziel_target,renewable,ziel,Renewable_6_1_3_1_1 + Renewable_6_2_3 + Renewable_9_2_1_3,_S.xlsx,2. Erneuerbare,M252,"=SUMIF($AD$5:$AD$228,$AD252,M$5:M$228)","=SUMIF($AD$5:$AD$228,$AD252,M$5:M$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
862,10.6.1_ziel_target,renewable,ziel,Renewable_10_6_1_1 + Renewable_10_6_1_2 + Renewable_10_6_1_3,_S.xlsx,2. Erneuerbare,M259,=SUM(M260:M262),=SUM(M260:M262),DIFFERENT,DB='renewable_10_6_1_1+renewable_10_6_1_2+renewable_10_6_1_3' vs Excel='sum(m260:m262)',REAL_DIFF,DB_ops=++ XL_ops=; investigate
251,10.6.2,renewable,status,Verbrauch_6_2 * Renewable_10_2_2 / 100,_S.xlsx,2. Erneuerbare,L237,=AH237*L$234%,=AH237*L$234%,DIFFERENT,DB='verbrauch_6_2*renewable_10_2_2/100' vs Excel='ah237*l234%',REAL_DIFF,DB_ops=*/ XL_ops=*; investigate
866,10.6.2_ziel_target,renewable,ziel,Verbrauch_6_2 * Renewable_10_2_2 / 100,_S.xlsx,2. Erneuerbare,M237,=AI237*M$234%,=AI237*M$234%,DIFFERENT,DB='verbrauch_6_2*renewable_10_2_2/100' vs Excel='ai237*m234%',REAL_DIFF,DB_ops=*/ XL_ops=*; investigate
861,10.6_ziel_target,renewable,ziel,Renewable_10_6_1 + Renewable_10_6_2,_S.xlsx,2. Erneuerbare,M258,=M259+M264,=M259+M264,EQUIVALENT,"Same structural shape '+'; different variable names (DB uses Python-style tokens, Excel uses cell refs)",,
252,10.7,renewable,status,Renewable_10_7_1 + Renewable_10_7_2 + Renewable_10_7_3 + Renewable_10_7_4,_S.xlsx,2. Erneuerbare,L48,,,NO_EXCEL_FORMULA,Excel cell has no formula AND no cached value,,
253,10.7.1,renewable,status,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,L251,"=SUMIF($AD$5:$AD$228,$AD251,L$5:L$228)","=SUMIF($AD$5:$AD$228,$AD251,L$5:L$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
868,10.7.1_ziel_target,renewable,ziel,Renewable_4_3_4_2,_S.xlsx,2. Erneuerbare,M251,"=SUMIF($AD$5:$AD$228,$AD251,M$5:M$228)","=SUMIF($AD$5:$AD$228,$AD251,M$5:M$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
254,10.7.2,renewable,status,Renewable_5_4_3_2 + Renewable_5_4_1_1,_S.xlsx,2. Erneuerbare,L241,"=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)","=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
869,10.7.2_ziel_target,renewable,ziel,Renewable_5_4_3_2 + Renewable_5_4_1_1,_S.xlsx,2. Erneuerbare,M241,"=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)","=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
255,10.7.3,renewable,status,Renewable_10_6_1_3,_S.xlsx,2. Erneuerbare,L241,"=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)","=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
870,10.7.3_ziel_target,renewable,ziel,Renewable_10_6_1_3,_S.xlsx,2. Erneuerbare,M241,"=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)","=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
256,10.7.4,renewable,status,Renewable_4_3_1 + Renewable_4_3_2,_S.xlsx,2. Erneuerbare,L241,"=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)","=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
871,10.7.4_ziel_target,renewable,ziel,Renewable_4_3_1 + Renewable_4_3_2,_S.xlsx,2. Erneuerbare,M241,"=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)","=SUMIF($AD$5:$AD$228,$AD241,M$5:M$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
867,10.7_ziel_target,renewable,ziel,Renewable_10_7_1 + Renewable_10_7_2 + Renewable_10_7_3 + Renewable_10_7_4,_S.xlsx,2. Erneuerbare,M48,,,NO_EXCEL_FORMULA,Excel cell has no formula AND no cached value,,
257,10.8,renewable,status,Renewable_9_2_1_4,_S.xlsx,2. Erneuerbare,L272,=L202,=L202,EQUIVALENT,"Both are single-variable references (DB uses code name, Excel uses cell ref)",,
872,10.8_ziel_target,renewable,ziel,Renewable_9_2_1_4,_S.xlsx,2. Erneuerbare,M272,=M202,=M202,EQUIVALENT,"Both are single-variable references (DB uses code name, Excel uses cell ref)",,
258,10.9,renewable,status,CATEGORY: No calculation,_S.xlsx,2. Erneuerbare,L274,,,NO_EXCEL_FORMULA,Excel cell has no formula AND no cached value,,
259,10.9.1,renewable,status,Renewable_10_9_1_1 + Renewable_10_9_1_2 + Renewable_10_9_1_3,_S.xlsx,2. Erneuerbare,L48,,,NO_EXCEL_FORMULA,Excel cell has no formula AND no cached value,,
260,10.9.1.1,renewable,status,Renewable_5_1_2 + Renewable_5_2 + Renewable_5_3,_S.xlsx,2. Erneuerbare,L241,"=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)","=SUMIF($AD$5:$AD$228,$AD241,L$5:L$228)",EQUIVALENT,SUMIF_VS_DIRECT: Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate),SUMIF_VS_DIRECT,Excel uses SUMIF aggregation; DB references a single code (likely the same aggregate)
